"country","1986","1987","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014"
"AFGHANISTAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.2,NA,NA,NA,NA,NA,NA,59.3,NA,NA,NA,NA,NA,NA,NA,NA,40.9,NA
"BANGLADESH",70.9,NA,NA,63.4,73.6,71.5,69.2,67.3,65.8,63.8,59.7,59.3,59.9,50.8,53.2,51.4,47.8,50.5,45.9,45.1,43.2,NA,NA,NA,41.4,42,38.7,36.1
"BRAZIL",NA,NA,19.4,NA,NA,NA,NA,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA
"CHINA",NA,38.3,NA,32.3,NA,38,NA,NA,31.2,NA,NA,19.8,NA,17.8,NA,21.8,NA,NA,11.7,NA,NA,9.8,9,9.4,NA,NA,NA,NA
"INDIA",NA,NA,62.7,NA,NA,61.9,57.7,NA,NA,NA,45.9,NA,54.2,NA,NA,NA,NA,NA,NA,47.9,NA,NA,NA,NA,NA,NA,NA,38.7
"INDONESIA",NA,NA,NA,NA,NA,NA,NA,NA,48.1,NA,NA,NA,NA,42.4,41.6,NA,NA,28.6,NA,NA,40.1,NA,NA,39.2,NA,NA,36.4,NA
"PAKISTAN",62.5,NA,NA,NA,54.5,42.7,NA,NA,NA,NA,NA,NA,NA,NA,41.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,45,NA,NA
"SOUTH AFRICA",NA,NA,NA,NA,NA,NA,NA,31.5,28.7,NA,NA,NA,30.1,NA,NA,NA,NA,32.8,NA,NA,NA,23.9,NA,NA,NA,NA,NA,NA
"SRI LANKA",NA,32.3,NA,NA,NA,NA,29.7,NA,26.1,NA,NA,NA,NA,18.4,NA,NA,NA,NA,NA,NA,17.3,NA,19.2,NA,NA,14.7,NA,NA
