"","fuel_type","separate_kitchen","window","total","stunting","stunting_rate"
"5","Crop Residue",0,0,1007,546,0.542204568023833
"6","Crop Residue",0,1,983,466,0.474059003051882
"7","Crop Residue",1,0,167,81,0.48502994011976
"8","Crop Residue",1,1,460,173,0.376086956521739
"9","Dung",0,0,1302,726,0.557603686635945
"10","Dung",0,1,1500,696,0.464
"11","Dung",1,0,349,171,0.489971346704871
"12","Dung",1,1,593,225,0.379426644182125
"13","Kerosene",0,0,262,117,0.446564885496183
"14","Kerosene",0,1,594,219,0.368686868686869
"15","Kerosene",1,0,60,16,0.266666666666667
"16","Kerosene",1,1,395,121,0.306329113924051
"17","LPG",0,0,404,176,0.435643564356436
"18","LPG",0,1,2277,706,0.310057092665788
"19","LPG",1,0,360,111,0.308333333333333
"20","LPG",1,1,6960,1465,0.210488505747126
"21","Wood",0,0,5926,3022,0.509956125548431
"22","Wood",0,1,6434,2642,0.410631022691949
"23","Wood",1,0,2256,1063,0.471187943262411
"24","Wood",1,1,5252,1983,0.377570449352628
"211","Crop Residue",-1,-1,2617,1266,0.483760030569354
"221","Crop Residue",-1,1,1443,639,0.442827442827443
"231","Crop Residue",1,-1,627,254,0.405103668261563
"241","Dung",-1,-1,3744,1818,0.485576923076923
"25","Dung",-1,1,2093,921,0.440038222646918
"26","Dung",1,-1,942,396,0.420382165605096
"27","Kerosene",-1,-1,1311,473,0.360793287566743
"28","Kerosene",-1,1,989,340,0.343781597573306
"29","Kerosene",1,-1,455,137,0.301098901098901
"30","LPG",-1,-1,10001,2458,0.245775422457754
"31","LPG",-1,1,9237,2171,0.235033019378586
"32","LPG",1,-1,7320,1576,0.215300546448087
"33","Wood",-1,-1,19868,8710,0.438393396416348
"34","Wood",-1,1,11686,4625,0.395772719493411
"35","Wood",1,-1,7508,3046,0.405700586041556
