state,district,state2,district_code,state_code,census2001_code,census2011_code,match_status
A & N Islands,_A & N ISLANDS,ANDAMAN AND NICOBAR ISLANDS,-1,-1,-1,-1,0
A & N Islands,NICOBAR,ANDAMAN AND NICOBAR ISLANDS,603,35,2,638,2
A & N Islands,NORTH AND MIDDLE ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,632,35,NA,639,1
A & N Islands,SOUTH ANDAMAN,ANDAMAN AND NICOBAR ISLANDS,602,35,1,640,2
Andhra Pradesh Old,_ANDHRA PRADESH OLD,ANDHRA PRADESH,-1,-1,-1,-1,0
Andhra Pradesh Old,ADILABAD,ANDHRA PRADESH,501,36,1,532,1
Andhra Pradesh Old,ANANTAPUR,ANDHRA PRADESH,502,28,22,553,1
Andhra Pradesh Old,CHITTOOR,ANDHRA PRADESH,503,28,23,554,1
Andhra Pradesh Old,CUDDAPAH,ANDHRA PRADESH,504,28,20,551,2
Andhra Pradesh Old,EAST GODAVARI,ANDHRA PRADESH,505,28,14,545,1
Andhra Pradesh Old,GUNTUR,ANDHRA PRADESH,506,28,17,548,1
Andhra Pradesh Old,HYDERABAD,ANDHRA PRADESH,507,36,5,536,1
Andhra Pradesh Old,KARIM NAGAR,ANDHRA PRADESH,-1,-1,-1,534,2
Andhra Pradesh Old,KHAMMAM,ANDHRA PRADESH,509,36,10,541,1
Andhra Pradesh Old,KRISHNA,ANDHRA PRADESH,510,28,16,547,1
Andhra Pradesh Old,KURNOOL,ANDHRA PRADESH,511,28,21,552,1
Andhra Pradesh Old,MAHBUBNAGAR,ANDHRA PRADESH,512,36,7,538,1
Andhra Pradesh Old,MEDAK,ANDHRA PRADESH,513,36,4,535,1
Andhra Pradesh Old,NALGONDA,ANDHRA PRADESH,514,36,8,539,1
Andhra Pradesh Old,NELLORE,ANDHRA PRADESH,515,28,19,550,2
Andhra Pradesh Old,NIZAMABAD,ANDHRA PRADESH,516,36,2,533,1
Andhra Pradesh Old,PRAKASAM,ANDHRA PRADESH,517,28,18,549,1
Andhra Pradesh Old,RANGA REDDY,ANDHRA PRADESH,-1,-1,-1,-1,0
