"number","name"
"c1","Total number of pregnant women Registered for ANC "
"c2","Number of Pregnant women registered within first trimester "
"c3","Number of Women registered under JSY "
"c4","% 1st Trimester registration to Total ANC Registrations "
"c5","% JSY registration to Total ANC Registration "
"c6","Number of pregnant women received 3 ANC check ups "
"c7","TT2 or Booster given to Pregnant women (numbers) "
"c8","% Pregnant Woman received 3 ANC check ups to Total ANC Registrations "
"c9","% Pregnant women received TT2 or Booster to Total ANC Registration "
"c10","Number of Pregnant women given 100 IFA tablets "
"c11","% Pregnant women given 100 IFA to Total ANC Registration "
"c12","Number having Hb level<11 (tested cases) "
"c13","Number having severe anaemia (Hb<7) treated at institution "
"c14","% Pregnant women having severe anaemia (Hb<7) treated at institution to women having hb level<11 "
"c15","% New cases detected at institution for hypertension to Total ANC Registrations "
"c16","Number of Home deliveries "
"c17","Number of home deliveries attended by SBA trained (Doctor/Nurse/ANM) "
"c18","Number of home deliveries attended by Non SBA trained (trained TB/Dai) "
"c19","% SBA attended home deliveries to Total Reported Home Deliveries "
"c20","Mothers paid JSY incentive for home deliveries "
"c21","% Mothers paid JSY incentive for home deliveries to Total Reported Home Deliveries "
"c22","Deliveries Conducted at Public Institutions "
"c23","Number of Women Discharged under 48 hours of delivery in public facilities "
"c24","% Women discharged in less than 48 hours of delivery to Total Reported Deliveries at public institutions "
"c25","Institutional deliveries (Public Insts.+Pvt. Insts.) "
"c26","% Institutional Deliveries to total ANC registration "
"c27","Total reported deliveries "
"c28","% Institutional deliveries to Total Reported Deliveries "
"c29","% Safe deliveries to Total Reported Deliveries "
"c30","% Home deliveries to Total Reported Deliveries "
"c31","Number of C-section deliveries conducted at public facilities "
"c32","Number of C-section deliveries conducted at private facilities "
"c33","% C-section deliveries (Public + Pvt.) to reported institutional (Public + Pvt.) deliveries "
"c34","% C-sections conducted at public facilities to Deliveries conducted at public facilities "
"c35","% C-sections conducted at Private facilities to Deliveries conducted at private facilities "
"c36","% Deliveries conducted at Public Institutions to Total Institutional Deliveries "
"c37","% Mothers paid JSY Incentive for Delivery at Public institution to Total Public Deliveries "
