index,square
0.0479183272,"1,1"
0.0244748779,"1,2"
0.0719702244,"1,3"
0.1223412603,"1,4"
0.0438923724,"1,5"
0.0478265658,"1,6"
0.0482546128,"1,7"
0.0414306186,"1,8"
0.0487848707,"2,1"
0.019791998,"2,2"
0.1382599771,"2,3"
0.1959376931,"2,4"
0.1370777935,"2,5"
0.0672236532,"2,6"
0.1496722996,"2,7"
0.1188023835,"2,8"
0.0401501209,"3,1"
0.077942878,"3,2"
0.2066312432,"3,3"
0.2343194485,"3,4"
0.1993158311,"3,5"
0.1984042525,"3,6"
0.2127222419,"3,7"
0.3208677173,"3,8"
0.1004579365,"4,1"
0.1335737407,"4,2"
0.2731359601,"4,3"
0.4462808073,"4,4"
0.3283036649,"4,5"
0.2935488224,"4,6"
0.3735125065,"4,7"
0.397579968,"4,8"
0.1641844362,"5,1"
0.1890672445,"5,2"
0.3856258392,"5,3"
0.5217580199,"5,4"
0.5768703222,"5,5"
0.4638522267,"5,6"
0.4447351694,"5,7"
0.4426833093,"5,8"
0.1340266168,"6,1"
0.1197512746,"6,2"
0.377422452,"6,3"
0.4685542881,"6,4"
0.5996780992,"6,5"
0.6849812269,"6,6"
0.5156410336,"6,7"
0.2832303345,"6,8"
0.0897093192,"7,1"
0.1304644197,"7,2"
0.2772698104,"7,3"
0.4094376564,"7,4"
0.4136467576,"7,5"
0.5995815992,"7,6"
0.5306584835,"7,7"
0.234975636,"7,8"
0.0096206237,"8,1"
0.0484671146,"8,2"
0.2788079977,"8,3"
0.3850189149,"8,4"
0.3585563302,"8,5"
0.4452235699,"8,6"
0.4187825024,"8,7"
0.4012030363,"8,8"
0.3934265375,"8,9"
