square,Cong00,Cong01,Cong02,Cong03,Cong04,Cong05,Cong06,Cong07,Cong08,Cong09,Cong10,Cong11,Cong12,Cong13,Cong14,Cong15,Cong16,Cong17,Cong18,Cong19,Cong20,Cong21,Cong22,Cong23
"1,1",0.0476062,0.0480961129,0.0481884852,0.0482224599,0.0481185466,0.0480680913,0.0480680913,0.0475168079,0.0474731177,0.047452081,0.0480502844,0.0475702882,0.0488904789,0.0478537306,0.0483549312,0.0475640148,0.0484307706,0.0477099791,0.047473155,0.0482962057,0.0478745028,0.0476464704,0.0476493016,0.0476203449
"1,2",0.0240056999,0.0243334267,0.0261483714,0.0249391794,0.0248200558,0.0224608891,0.0219142903,0.0224171579,0.0237091277,0.0246421099,0.0245439447,0.0246371515,0.0252952278,0.0242470633,0.0240905173,0.0238891914,0.0238158815,0.0244907662,0.0254129134,0.0262972862,0.0264704712,0.024740031,0.0243026409,0.0244132187
"1,3",0.071233876,0.0767947137,0.0896847174,0.0808787644,0.0771823376,0.0546614863,0.0482216179,0.0537869595,0.0661298037,0.0716055334,0.0758262798,0.0777613968,0.0751193017,0.0683190301,0.0654648393,0.0631092414,0.0658946261,0.0698129833,0.077823326,0.0897504091,0.0887617618,0.073283501,0.0694498122,0.0696637481
"1,4",0.1158553213,0.1173140854,0.1228094473,0.1218389422,0.1170259714,0.1027244106,0.1036499739,0.1115204468,0.1191113442,0.1225573197,0.1249625981,0.1279124618,0.1268121302,0.1242780685,0.1191514209,0.1175404415,0.1221285984,0.1264274865,0.1345003396,0.14533481,0.1407814771,0.125292182,0.1176889166,0.1154296994
"1,5",0.0379160233,0.0334639661,0.0396766774,0.0404250324,0.0353070945,0.0276779179,0.0303892791,0.0375133753,0.0419595465,0.043144837,0.0434528403,0.0454672948,0.048505649,0.0473717749,0.0439626947,0.0415762067,0.0455769747,0.049566593,0.056257613,0.0620484799,0.0582629368,0.0483367518,0.0411688238,0.0391650163
"1,6",0.0461543836,0.0432688147,0.0474825799,0.0461200625,0.0497599617,0.0432443097,0.0433066823,0.043898955,0.0475704521,0.0480760038,0.0485674068,0.0481203571,0.0502726622,0.0511627905,0.0493729003,0.0469379053,0.0468264371,0.046708934,0.0496201999,0.0564099401,0.0529365987,0.0481003523,0.0443855971,0.0456848368
"1,7",0.0480899662,0.043380931,0.0512116179,0.0483870134,0.061742682,0.048435919,0.0365475044,0.0396968648,0.0505255386,0.0466621071,0.04888466,0.0477990136,0.0495555736,0.0507058278,0.0469392836,0.044536192,0.0459406078,0.0447879061,0.0486119539,0.0613278151,0.0572892874,0.0478751063,0.0413762778,0.0458525047
"1,8",0.0400886983,0.0388190001,0.041331131,0.0414228961,0.0474098921,0.0368180424,0.0331217051,0.0369705744,0.0405916944,0.0398023501,0.0404096916,0.0399872065,0.0445566028,0.0421134047,0.0400006473,0.0414838009,0.0411180779,0.0421070307,0.0446775779,0.0515858233,0.0457426608,0.0407811776,0.0384143218,0.03981141
"2,1",0.0488108248,0.0485299453,0.0486066043,0.0486243293,0.0487056971,0.0486344025,0.0486344025,0.0482151397,0.0481593981,0.048180148,0.0487826914,0.0483933613,0.0494456775,0.0487888716,0.0495162494,0.048710756,0.0491531305,0.048597265,0.0483873785,0.0492054336,0.0496317074,0.0488329083,0.0487106144,0.0486749634
"2,2",0.0190240946,0.0176192448,0.0182778612,0.0181110613,0.0175354555,0.0164195113,0.0160954483,0.0173159856,0.0190998148,0.019481156,0.0188244879,0.0196795277,0.0218493454,0.0221334621,0.021249393,0.0208167601,0.0205281451,0.0211023428,0.022045657,0.022335615,0.0224343184,0.0206401795,0.0187185947,0.0189153031
"2,3",0.0857674032,0.090550065,0.1031799093,0.0908269286,0.0813349187,0.0642698184,0.0685704947,0.1044899523,0.1513759792,0.1729340702,0.1950178593,0.1979543865,0.1969721317,0.1754069477,0.1576617062,0.1459260285,0.1524910182,0.1748800278,0.1964219213,0.1947833598,0.1803128868,0.1266871691,0.0921266526,0.0835365504
"2,4",0.1149010062,0.1216795221,0.1488057971,0.1446198374,0.1210272014,0.0877493992,0.0900280625,0.1370924711,0.1998218894,0.2276791781,0.2510885,0.2603574693,0.2607590258,0.2419349104,0.2219328433,0.2045261562,0.2214544863,0.2553755343,0.2952291369,0.2931163907,0.2746821642,0.1960679591,0.1403199881,0.1173772737
"2,5",0.068713218,0.0725157559,0.087995097,0.0922864154,0.0808137879,0.0788383037,0.1093291491,0.1448641419,0.156993717,0.1601291299,0.1683835983,0.1724731326,0.1685416251,0.1606400311,0.1457878947,0.1388419867,0.1513337195,0.1737282872,0.2010968924,0.2217393816,0.1884676516,0.1417077035,0.0972687751,0.0769410506
"2,6",0.053004086,0.0501286313,0.0587071702,0.0584281608,0.0615515634,0.0544569716,0.056613788,0.0623317733,0.0703998357,0.0723811537,0.0748490095,0.0753276646,0.0775713027,0.0750981197,0.0721950084,0.0682448521,0.0706602335,0.073484078,0.0793742985,0.0882494748,0.079152517,0.0661216751,0.0543948859,0.0527181141
"2,7",0.1052116156,0.0934004188,0.118975848,0.1270945221,0.1345655024,0.1002963185,0.0961497277,0.1166180074,0.1584944576,0.1707240939,0.1733180881,0.1831633747,0.1780640185,0.1734604239,0.1680877507,0.1550507396,0.1475131959,0.1572434604,0.1935087293,0.2292279154,0.2067897916,0.1512893438,0.1165480763,0.1046084687
"2,8",0.0848266855,0.0883620232,0.0925328732,0.099763222,0.0979260355,0.0802532434,0.0606918633,0.079267025,0.1220696419,0.1336491406,0.1316326261,0.1517933607,0.1457292438,0.138815701,0.1416506767,0.127274096,0.1149658263,0.1241419464,0.1550318599,0.1741932333,0.1551628113,0.1231991202,0.1021394134,0.0908438414
"3,1",0.0344738737,0.0362768397,0.0372348316,0.0376863368,0.0365544036,0.0359653607,0.0333426893,0.0361032672,0.0395299383,0.0424213633,0.0433478951,0.0440457575,0.0443524942,0.0429970659,0.0421826579,0.041209437,0.0426163115,0.0447424464,0.0466840938,0.047581844,0.0437814295,0.0375608131,0.0351109989,0.0337149426
