,India,India,India,India,India,India,India,India,India,India,India,India,India,India
Indicator,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
Alcohol consumption among adults aged &#8805; 15 years (litres of pure alcohol per person per year),,,,,,,,,,,0.6,,,
Antiretroviral therapy coverage among people with HIV infection eligible for ART according to 2010 guidelines (%),,,,50 [44-58],,,,,,,,,,
"Antiretroviral therapy coverage among people with advanced HIV infection (%), WHO 2006 guidelines",,,,,,,… [36-55],,,,,,,
Cellular subscribers (per 100 population),,,,70,72,61,,,,,,,,
Civil registration coverage of births (%),,,,,83.6,,,,,,,,,
Civil registration coverage of cause-of-death (%),,,,,,,,,8,,,,,
Deaths due to HIV/AIDS (per 100 000 population),,,,11,,,,,,,,,,
Dentistry personnel density (per 10 000 population),,,,,,,,0.81,,,,,,
Gross national income per capita (PPP int. $),,,,5080,4840,4500,4100,3800,3650,3270,2950,2650,2430,2240
Most recent census (year),,,,,2011,,,,,,,,,
Number of dentistry personnel,,,,,,,,93332,,,,,,
Number of nursing and midwifery personnel,,,,,,,,1146915,,,,,,
Nursing and midwifery personnel density (per 10 000 population),,,,,,,,9.96,,,,,,
Physicians density (per 10 000 population),,,,,,,6.49,,,,,,,
Projections for total (recorded + unrecorded) alcohol per capita (15+) consumption,,,,,,,,2.69,,,,,,
Total fertility rate (per woman),,,2.5,2.51,2.53,,,,,,,,,
"Unmet need for family planning, among girls aged 15-19 (%)",,,,,,,,,28.3,,,,,
"Contraceptive prevalence, among girls aged 15-19 (%)",,,,,,,,,11.4,,,,,
"Antenatal care coverage - at least one visit, among girls aged 15-19 (%)",,,,,,,,,75.7,,,,,
Number of neonatal deaths (thousands),696,722,753,793,831,871,910,946,982,1017,1054,1092,1134,1176
"Births attended by skilled health personnel, among girls aged 15-19 (%)",,,,,,,,,47.5,,,,,
Neonatal mortality rate (per 1000 live births),27.7 [24.0-31.6],28.6 [25.1-32.2],29.5 [26.5-32.9],30.6 [27.7-33.7],31.6 [28.9-34.5],32.7 [30.0-35.5],33.8 [31.1-36.5],34.9 [32.1-37.6],36.0 [33.1-38.8],37.1 [34.2-40.0],38.3 [35.3-41.3],39.5 [36.6-42.6],40.9 [37.8-44.1],42.3 [39.1-45.5]
Unmet need for family planning (%),,,,,,,,20.5,,,,,,
Estimated percentage of pregnant women living with HIV who received antiretrovirals for preventing mother-to-child transmission,,No data,,,,,,,,,,,,
Leprosy - number of reported cases,127326,125785,126913,134752,127295,126800,133717,134184,137685,139252,161457,,,
Malaria - number of reported confirmed cases,,1 102 205,881 730,1 067 824,1 310 656,1 599 986,1 563 574,1 532 497,1 508 927,1 785 109,1 816 569,1 915 363,1 869 403,1 841 227
Malaria - number of reported deaths,,561,440,519,754,1 018,1 144,1 055,1 311,1 708,963,949,1 006,973
Contraceptive prevalence (%),,,,,,,,54.8,,,,,,
Poliomyelitis - number of reported cases,,0,0,,,,,,,,,,,
Total density per million population: Radiotherapy units,,,0.41,,,0.41,,,,,,,,
Maternal mortality ratio (per 100 000 live births), 174 [ 139 -  217],,,,,,,,,,,,,
Population median age (years),,,26.4,26.07,,,,,,,,,,
Population living in urban areas (%),,,,,,30.9,,,,,,,,
"Psychiatrists working in mental health sector (per 100,000)",,0.3,,,0.3,,,,,,,,,
