state,year,imr
Assam,2013,54
Madhya Pradesh,2013,54
Odisha,2013,51
Uttar Pradesh,2013,50
Meghalaya,2013,47
Rajasthan,2013,47
Chhattisgarh,2013,46
Bihar,2013,42
Haryana,2013,41
India,2013,40
Andhra Pradesh,2013,39
Jammu & Kashmir,2013,37
Jharkhand,2013,37
Gujarat,2013,36
Himachal Pradesh,2013,35
Mizoram,2013,35
Arunachal Pradesh,2013,32
Uttarakhand,2013,32
Dadra and Nagar Haveli,2013,31
Karnataka,2013,31
West Bengal,2013,31
Punjab,2013,26
Tripura,2013,26
Andaman & Nicobar Islands,2013,24
Delhi,2013,24
Lakshadweep,2013,24
Maharashtra,2013,24
Sikkim,2013,22
Chandigarh,2013,21
Tamil Nadu,2013,21
Daman and Diu,2013,20
Nagaland,2013,18
Puducherry,2013,17
Kerala,2013,12
Manipur,2013,10
Goa,2013,9
Madhya Pradesh,2012,56
Assam,2012,55
Odisha,2012,53
Uttar Pradesh,2012,53
Meghalaya,2012,49
Rajasthan,2012,49
Chhattisgarh,2012,47
Bihar,2012,43
Haryana,2012,42
India,2012,42
Andhra Pradesh,2012,41
Jammu & Kashmir,2012,39
Gujarat,2012,38
Jharkhand,2012,38
Himachal Pradesh,2012,36
Mizoram,2012,35
Uttarakhand,2012,34
Arunachal Pradesh,2012,33
Dadra and Nagar Haveli,2012,33
Karnataka,2012,32
West Bengal,2012,32
Punjab,2012,28
Tripura,2012,28
Delhi,2012,25
Maharashtra,2012,25
Andaman & Nicobar Islands,2012,24
Lakshadweep,2012,24
Sikkim,2012,24
Daman and Diu,2012,22
Tamil Nadu,2012,21
Chandigarh,2012,20
Nagaland,2012,18
Puducherry,2012,17
Kerala,2012,12
Goa,2012,10
Manipur,2012,10
Madhya Pradesh,2011,59
Odisha,2011,57
Uttar Pradesh,2011,57
Assam,2011,55
Meghalaya,2011,52
Rajasthan,2011,52
Chhattisgarh,2011,48
Bihar,2011,44
Haryana,2011,44
India,2011,44
Andhra Pradesh,2011,43
Gujarat,2011,41
Jammu & Kashmir,2011,41
Jharkhand,2011,39
Himachal Pradesh,2011,38
Uttarakhand,2011,36
Dadra and Nagar Haveli,2011,35
Karnataka,2011,35
Mizoram,2011,34
Arunachal Pradesh,2011,32
West Bengal,2011,32
Punjab,2011,30
Tripura,2011,29
Delhi,2011,28
Sikkim,2011,26
Maharashtra,2011,25
Lakshadweep,2011,24
Andaman & Nicobar Islands,2011,23
Daman and Diu,2011,22
Tamil Nadu,2011,22
Nagaland,2011,21
Chandigarh,2011,20
Puducherry,2011,19
Kerala,2011,12
Goa,2011,11
Manipur,2011,11
Madhya Pradesh,2010,62
Odisha,2010,61
Uttar Pradesh,2010,61
Assam,2010,58
Meghalaya,2010,55
Rajasthan,2010,55
Chhattisgarh,2010,51
Bihar,2010,48
Haryana,2010,48
India,2010,47
Andhra Pradesh,2010,46
Gujarat,2010,44
Jammu & Kashmir,2010,43
Jharkhand,2010,42
Himachal Pradesh,2010,40
Dadra and Nagar Haveli,2010,38
Karnataka,2010,38
Uttarakhand,2010,38
Mizoram,2010,37
Punjab,2010,34
Arunachal Pradesh,2010,31
West Bengal,2010,31
Delhi,2010,30
Sikkim,2010,30
Maharashtra,2010,28
Tripura,2010,27
Andaman & Nicobar Islands,2010,25
Lakshadweep,2010,25
Tamil Nadu,2010,24
Daman and Diu,2010,23
Nagaland,2010,23
Chandigarh,2010,22
Puducherry,2010,22
Manipur,2010,14
Kerala,2010,13
Goa,2010,10
Madhya Pradesh,2009,67
Odisha,2009,65
Uttar Pradesh,2009,63
Assam,2009,61
Meghalaya,2009,59
Rajasthan,2009,59
Chhattisgarh,2009,54
Bihar,2009,52
Haryana,2009,51
India,2009,50
Andhra Pradesh,2009,49
Gujarat,2009,48
Himachal Pradesh,2009,45
Jammu & Kashmir,2009,45
Jharkhand,2009,44
Karnataka,2009,41
Uttarakhand,2009,41
Punjab,2009,38
Dadra and Nagar Haveli,2009,37
Mizoram,2009,36
Sikkim,2009,34
Delhi,2009,33
West Bengal,2009,33
Arunachal Pradesh,2009,32
Maharashtra,2009,31
Tripura,2009,31
Tamil Nadu,2009,28
Andaman & Nicobar Islands,2009,27
Nagaland,2009,26
Chandigarh,2009,25
Lakshadweep,2009,25
Daman and Diu,2009,24
